 A(*, *)
 matr[           3 ,            9 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           10 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           11 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           3 ,           12 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           13 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           14 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           15 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           16 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           3 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,            1 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           4 ,            2 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,            3 ] =                (205.14483667026812,0.0000000000000000)
 matr[           4 ,            4 ] =               (-421.40539443360962,0.0000000000000000)
 matr[           4 ,            5 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,            6 ] =               (-205.14483667026812,0.0000000000000000)
